title,overview,vote_count,original_language,release_date,popularity,vote_average
Hibiki,A high school girl with overwhelming literary talent shakes up the lives of those around her with her brilliant spontaneity.,14,ja,2018-09-14,Hibiki,7.0
The Girl with the Dragon Tattoo,"Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie, Mikael Blomkvist, a middle-aged publisher for the magazine Millennium, loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless, he is hired by Henrik Vanger in order to solve a cold case, the disappearance of Vanger's niece",2381,sv,2009-02-27,The Girl with the Dragon Tattoo,7.5
The Imaginarium of Doctor Parnassus,A traveling theater company gives its audience much more than they were expecting.,2292,en,2009-10-01,The Imaginarium of Doctor Parnassus,6.4
Fatal Frame,"High school student Aya Tsukimori becomes cursed and is unable to leave her school dormitory. Meanwhile, many students begin reporting ghost sightings at the school, while others go missing and are later discovered to have drowned mysteriously. Soon, Aya attempts to communicate with fellow student Michi Kazato, who begins investigating the disappearances of her friends.",26,ja,2014-09-26,Fatal Frame,5.8
Two Lovers,A depressed man moves back in with his parents following a recent heartbreak and finds himself with two women.,643,en,2008-11-19,Two Lovers,6.8
Suite Française,"France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of war. Parisian refugees start to pour into their small town, soon followed by a regiment of German soldiers who take up residence in the villagers' own homes. Lucile initially tries to ignore Bruno von Falk, the handsome and refined German officer staying with them. But soon, a powerful love draws them together and leads them into the tragedy of war.",973,en,2015-03-12,Suite Française,7.3
R.A.I.D. Special Unit,"The story of a woman who dreams to join an intervention group in the police department called RAID. Unfortunately, she is rather clumsy and both her family (and soon to be family-in-law) and a veteran of the RAID do not approve. However, Johanna is determined to prove them wrong.",784,fr,2017-02-01,R.A.I.D. Special Unit,5.8
Marked for Death,"Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.",375,en,1990-10-05,Marked for Death,6.0
Untold: Malice at the Palace,"Key figures from an infamous November 19th 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy.",49,en,2021-08-10,Untold: Malice at the Palace,7.1
Heroic Losers,"In a town in the Northwest of the province of Buenos Aires, a group of neighbors is organized to recover the economy of the area, but when the corralito is implemented in the country and they suffer a fraud, their hopes disappear. Now, they will unite to recover the lost money and give the blow of their lives to their greatest enemy.",426,es,2019-08-15,Heroic Losers,7.7
An Affair to Die For,A weekend get-away for two lovers turns into a nightmare of psychological mind games when their infidelity is discovered.,76,en,2019-02-01,An Affair to Die For,6.0
The River Wild,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",669,en,1994-09-30,The River Wild,6.4
Equals,A futuristic love story set in a world where emotions have been eradicated.,1179,en,2015-07-15,Equals,6.1
Forever Young,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.,689,en,1992-12-16,Forever Young,6.4
Absolute Power,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",771,en,1997-02-14,Absolute Power,6.6
The Cider House Rules,"Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?",885,en,1999-12-17,The Cider House Rules,7.0
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",641,en,1924-04-17,Sherlock Jr.,8.2
Lovestruck: The Musical,"Harper was one of the best dancers to hit Broadway, but an injury caused her to leave the spotlight, become a choreographer, and raise her daughter Mirabella. When Mirabella decides to quit the show to get married, her mother is determined to put a stop to the wedding and show Mirabella that she cannot give up her career for love.",134,en,2013-04-21,Lovestruck: The Musical,6.5
Bicycle Thieves,A working man's livelihood is threatened when someone steals his bicycle.,1779,it,1948-11-24,Bicycle Thieves,8.3
Suburbicon,"In the quiet family town of Suburbicon during the 1950s, the best and worst of humanity is hilariously reflected through the deeds of seemingly ordinary people. When a home invasion turns deadly, a picture-perfect family turns to blackmail, revenge and murder.",1413,en,2017-10-26,Suburbicon,5.8
Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",1355,en,2000-06-30,Dancer in the Dark,7.9
Her Smell,A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,87,en,2019-04-12,Her Smell,5.9
El Mariachi,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor, a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake el Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",848,es,1992-09-04,El Mariachi,6.7
Rescue Dawn,A US Fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,934,en,2006-09-09,Rescue Dawn,6.9
French Kiss,"After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.",568,en,1995-05-05,French Kiss,6.4
The Fighter,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",3511,en,2010-12-17,The Fighter,7.4
Raise the Red Lantern,"China in the 1920s. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand...",506,zh,1991-12-20,Raise the Red Lantern,8.0
Elizabethtown,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",900,en,2005-10-14,Elizabethtown,6.2
Gangster Land,"The story of America's most famous mobsters and their rise to power. Examine Al Capone's ascension through the eyes of his second in command, “Machine Gun” Jack McGurn.",51,en,2017-12-01,Gangster Land,5.6
The Great Raid,"As World War II rages, the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war.",263,en,2005-08-12,The Great Raid,6.6
Irma la Douce,A Parisian policeman gives up everything for the love of a free-living sex worker.,281,en,1963-06-05,Irma la Douce,7.5
The Beach Bum,"An irreverent comedy about the misadventures of Moondog, a rebellious stoner and lovable rogue who lives large.",346,en,2019-03-21,The Beach Bum,5.6
Laid to Rest,A terrifying story of a young girl who wakes up in a casket with a traumatic head injury and no memory of her identity. She quickly realizes she was abducted by a Deranged Serial Murderer and in an isolated rural town she must survive the night and outsmart the technologically inclined killer who is hellbent on finishing what he started.,123,en,2009-04-02,Laid to Rest,5.3
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1892,en,1950-08-10,Sunset Boulevard,8.4
A Hologram for the King,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",925,en,2016-04-22,A Hologram for the King,5.8
I Can't Think Straight,"I CAN'T THINK STRAIGHT is a 2007 romance movie about a London-based Jordanian of Palestinian descent, Tala, who is preparing for an elaborate wedding. A turn of events causes her to have an affair and subsequently fall in love with another woman, Leyla, a British Indian.",244,en,2008-06-01,I Can't Think Straight,7.6
Flood,"Timely yet terrifying, The Flood predicts the unthinkable. When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East Coast and into the Thames Estuary. Overwhelming the Barrier, torrents of water pour into the city. The lives of millions of Londoners are at stake.",109,en,2007-08-24,Flood,5.3
Smilla's Sense of Snow,"Smilla Jaspersen, half Danish, half Greenlander, attempts to understand the death of a small boy who falls from the roof of her apartment building. Suspecting wrongdoing, Smilla uncovers a trail of clues leading towards a secretive corporation that has made several mysterious expeditions to Greenland. Scenes from the film were shot in Copenhagen and western Greenland. The film was entered into the 47th Berlin International Film Festival, where director Bille August was nominated for the Golden Bear.",184,en,1997-02-28,Smilla's Sense of Snow,6.4
Minutemen,"When three high-school friends invent a time-machine, they decide to use it to go back in time and prevent other youngsters from making humiliating mistakes.",185,en,2008-02-29,Minutemen,5.7
11-11-11,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",183,en,2011-11-11,11-11-11,4.6
Domestic Disturbance,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,314,en,2001-10-28,Domestic Disturbance,5.7
Antboy 3,"Antboy is challenged by the release of archenemy Loppen from prison, the new super villain, Alicia Dufort, and competition from an all new vigilante; the Hero Without a Name.",44,da,2016-02-11,Antboy 3,6.8
Daddy Day Camp,"Seeking to offer his son the satisfying summer camp experience that eluded him as a child, the operator of a neighborhood daycare center opens his own camp, only to face financial hardship and stiff competition from a rival camp.",357,en,2007-08-08,Daddy Day Camp,4.8
Naked,An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,367,en,1993-09-14,Naked,7.4
Blade Runner: Black Out 2022,"This animated short revolves around the events causing an electrical systems failure on the west coast of the US. According to Blade Runner 2049’s official timeline, this failure leads to cities shutting down, financial and trade markets being thrown into chaos, and food supplies dwindling. There’s no proof as to what caused the blackouts, but Replicants — the bio-engineered robots featured in the original Blade Runner, are blamed.",272,en,2017-09-26,Blade Runner: Black Out 2022,7.3
Chain Reaction,Two researchers in a green alternative energy project forced on the run when they are framed for murder and treason.,786,en,1996-08-02,Chain Reaction,5.6
Mad World,"It is the year 2037. Our world is dying, slowly, from a virus that has rendered mankind infertile. Not a single child has been born in 25 years. Governments are now powerless puppets for the biggest corporations and Biocorp, the world's biggest, keeps promising a cure that never comes",49,en,2018-01-02,Mad World,5.5
Kagemusha,"Akira Kurosawa's lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.",465,ja,1980-04-26,Kagemusha,7.9
The Postman,"In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope.",803,en,1997-12-25,The Postman,6.2
Batman Unlimited: Monster Mayhem,"The Joker is aided in his Halloween quest to render modern technology useless and take over Gotham City by Solomon Grundy, Silver Banshee, Clayface and Scarecrow.",104,en,2015-08-18,Batman Unlimited: Monster Mayhem,6.2
Pulse,"When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",393,en,2006-08-11,Pulse,5.0
Balloon,"Two families attempt a daredevil plan to escape the GDR with a homemade hot air balloon, but it crashes just before the border. The Stasi finds traces of this attempt to escape and immediately starts investigations, while the two families are forced to build a new escape balloon. With each passing day the Stasi is closer on their heels – a nerve-wracking race against time begins.",318,de,2018-09-27,Balloon,7.5
The Devil's Own,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",909,en,1997-03-12,The Devil's Own,6.1
Kombinat,"In the heart of Russia, the city of Magnitogorsk is home to the Kombinat, one of the largest iron and steel factory in the country. Here, Gabriel Tejedor films the day-to-day lives of Lena, Sasha, Guenia and their families, while this new generation of young parents wonder about their living and working conditions, which seem pre-determined by the Kombinat and its State capitalism.",0,ru,2022-03-02,Kombinat,0.0
Gokuraku sentô: Kyonyû yumomi,"""Tachibana Yusen"" in a certain town. There is a public bath that Kasuko, who has extraordinary big breasts, inherited from her father. There are regular customers from my father's time, but young people and old people gathered for Kasuko's big breasts. However, it was decided to open a sports gym with a spa in the neighborhood, and as a countermeasure, he was considering new services with regular customers.",1,ja,2011-08-11,Gokuraku sentô: Kyonyû yumomi,2.0
The Land Before Time VII: The Stone of Cold Fire,"Littlefoot and his pals set off in search of a ""stone of cold fire"" that fell from the night sky. Since he's the only one who has seen it though, nobody really believes him. Littlefoot's uncle Pterano offers support only because he thinks the stone has secret powers and wants it for himself but conceals this from the rest. The young dinos must figure out the truth, before Pterano gets the power.",226,en,2000-12-05,The Land Before Time VII: The Stone of Cold Fire,6.1
Embattled,The eldest son of a ruthlessly tough MMA champion must fight his way out of the abusive cycle his father has continued.,45,en,2020-11-20,Embattled,7.2
Altitude,A female FBI agent is offered millions to help a thief escape from a hijacked airplane.,95,en,2017-04-14,Altitude,4.8
The Land Before Time IV: Journey Through the Mists,Littlefoot and his dinosaur pals go in search of a medicinal flower that will cure his ailing grandfather.,274,en,1996-11-06,The Land Before Time IV: Journey Through the Mists,6.2
Sudden Impact,"When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice.",634,en,1983-12-07,Sudden Impact,6.6
The Rookie,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",390,en,1990-01-18,The Rookie,5.9
Hector and the Search for Happiness,"Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results.",688,en,2014-08-14,Hector and the Search for Happiness,6.7
3 Ninjas Kick Back,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",222,en,1994-05-06,3 Ninjas Kick Back,5.5
Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",755,ja,1952-10-09,Ikiru,8.4
The Poseidon Adventure,"A cruise ship succumbs to a terrorist act and capsizes on New Year's eve. A rag-tag group of survivors, spearheaded by a priest and a homeland security agent, must journey through the upside down vessel and attempt an escape.",82,en,2005-11-20,The Poseidon Adventure,5.5
Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",1080,en,1986-12-19,Little Shop of Horrors,6.9
Conviction,"When Betty Anne Waters' older brother Kenny is arrested for murder and sentenced to life in 1983, Betty Anne, a Massachusetts wife and mother of two, dedicates her life to overturning the murder conviction. Convinced that her brother is innocent, Betty Anne puts herself through high school, college and, finally, law school in an 18 year quest to free Kenny. With the help of best friend Abra Rice, Betty Anne pores through suspicious evidence mounted by small town cop Nancy Taylor, meticulously retracing the steps that led to Kenny's arrest. Belief in her brother - and her quest for the truth - pushes Betty Anne and her team to uncover the facts and utilize DNA evidence with the hope of exonerating Kenny.",478,en,2010-10-15,Conviction,7.1
Best of the Best 2,"In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club.",98,en,1993-01-01,Best of the Best 2,5.8
Barbie: Dolphin Magic,"Barbie and her sisters take off on another exciting, global adventure to visit their friend Ken at his summer internship at a beautiful and exotic coral reef.",178,en,2017-09-20,Barbie: Dolphin Magic,6.9
Love & Friendship,"From Jane Austen’s novella, the beautiful and cunning Lady Susan Vernon visits the estate of her in-laws to wait out colorful rumors of her dalliances and to find husbands for herself and her daughter. Two young men, handsome Reginald DeCourcy and wealthy Sir James Martin, severely complicate her plans.",434,en,2016-05-26,Love & Friendship,6.1
Trail of the Pink Panther,"The Pink Panther diamond is stolen once again from Lugash and the authorities call in Chief Inspector Clouseau from France. His plane disappears en-route. This time, famous French TV reporter Marie Jouvet sets out to solve the mystery and starts to interview everybody connected to Clouseau.",180,en,1982-12-03,Trail of the Pink Panther,5.3
The Legacy of the Bones,Inspector Amaia Salazar must return to the Baztan valley in order to solve a series of suicides that seem to follow a similar pattern.,310,es,2019-12-05,The Legacy of the Bones,6.6
EXIT,"When an unknown toxic gas strikes Seoul in an unprecedented act of terror, Yong-nam has just met Eui-ju from college by chance at his mother's birthday banquet. The city falls under sudden noxious gas attack and together, they must escape the panic-stricken city.",101,ko,2019-07-31,EXIT,7.3
Love Hostel,"Set against the pulsating backdrop of rustic North India, Love Hostel traces the volatile journey of star-crossed lovers, being hunted by a ruthless mercenary on the orders of the area's MLA, who also happens to be the girl's grandmother.",1,hi,2022-02-25,Love Hostel,8.0
I'll Find You,"Inspired by stories of Polish musicians from the 1930s and 40s. Two young lovers, Robert, a Catholic opera singer, and Rachel, a Jewish violin virtuoso, dream of one day performing together at legendary Carnegie Hall. When they're torn apart by the German invasion of Poland, Robert vows to find Rachel, no matter what the war may bring. His search leads him on a life-threatening journey through the heart of Nazi Germany, to a reckoning that Rachel may be lost to him forever.",1,en,2022-02-25,I'll Find You,10.0
Tom and Jerry & The Wizard of Oz,"After a deadly storm, Tom and Jerry find themselves stranded on an unknown island ruled by the evil Wizard of Oz. As they try to find their way back home, they worry for their master Dorothy's safety.",75,en,2011-08-23,Tom and Jerry & The Wizard of Oz,6.0
Omen III: The Final Conflict,"Damien Thorn has helped rescue the world from a recession, appearing to be a benign corporate benefactor. When he then becomes U.S. Ambassador to the United Kingdom, Damien fulfills a terrifying biblical prophecy. He also faces his own potential demise as an astronomical event brings about the second coming of Christ.",394,en,1981-03-20,Omen III: The Final Conflict,5.8
The Crow: Salvation,"Alex Corvis returns to the world of the living to avenge the murder of his girlfriend, who he was wrongly accused of killing. But first he must uncover the truth about who really killed her.",241,en,2000-10-31,The Crow: Salvation,5.4
The Conversation,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.",1221,en,1974-04-07,The Conversation,7.6
Altered States,"A research scientist explores the boundaries and frontiers of consciousness. Using sensory deprivation and hallucinogenic mixtures from native American shamans, he explores these altered states of consciousness and finds that memory, time, and perhaps reality itself are states of mind.",475,en,1980-12-25,Altered States,6.7
Killing Me Softly,A woman grows suspicious of her controlling husband after she discovers secrets about the women in his past.,222,en,2002-05-10,Killing Me Softly,5.5
Drunk Parents,Two drunk parents attempt to hide their ever increasing financial difficulties from their daughter and social circle through elaborate neighborhood schemes.,191,en,2019-02-08,Drunk Parents,4.7
Detective Conan: The Private Eyes' Requiem,"Synopsis Kogoro and Conan came to Yokohama according to a request from a mysterious man. But that was a trap of this man. Ran and the Detective Boys will be taken as hostages. If they don't solve the request of the man within 12 hours, the bombs attached to the hostages will explode. Furthermore, the man know that Conan`s true identity is Kudo Shinichi. Also Hattori Heiji, the High School Detective of the West, and Kaito Kid enter the stage. Will they be able to solve the mystery within the time limit and save Ran and the others? And who in the world is the client?",91,ja,2006-04-15,Detective Conan: The Private Eyes' Requiem,7.1
A Perfect Enemy,"Successful architect Jeremy Angust is approached on his trip to the Tokyo International Airport by a chatty girl called Texel Textor. She is a strange young woman who seems to be looking for captive victims whom she forces to listen to her strange stories. Jeremy loses the flight because of Texel and once they are installed in the lounge area, he will not be able to get rid of the annoying stranger. Although the meeting seems fortuitous, soon there be a turn that will transform the character of that encounter into something much more sinister and criminal.",54,en,2021-06-11,A Perfect Enemy,6.5
A Single Man,"The life of George Falconer, a British college professor, is reeling with the recent and sudden loss of his longtime partner. This traumatic event makes George challenge his own will to live as he seeks the console of his close girl friend Charley, who is struggling with her own questions about life.",1253,en,2009-10-19,A Single Man,7.3
Rogue,"From the director of Wolf Creek comes this terrifying look at nature's perfect killing machine. When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds.",485,en,2007-11-08,Rogue,6.5
The Bride of Frankenstein,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein falls under the control of his former mentor, Dr. Pretorius, who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.",652,en,1935-04-20,The Bride of Frankenstein,7.6
Little Monsters,A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.,503,en,2019-08-29,Little Monsters,6.6
Anastasia: Once Upon a Time,"Anastasia Romanov escapes through a portal when her family is threatened by Vladimir Lenin, and she finds herself in the year 1988, befriended by a young American girl.",64,en,2020-02-27,Anastasia: Once Upon a Time,6.2
Samsara,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",456,en,2011-09-16,Samsara,8.2
The Duellists,"In 1800, as Napoleon Bonaparte rises to power in France, a rivalry erupts between Armand and Gabriel, two lieutenants in the French Army, over a perceived insult. For over a decade, they engage in a series of duels amidst larger conflicts, including the failed French invasion of Russia in 1812, and shifts in the political and social systems of Europe.",367,en,1977-08-31,The Duellists,7.3
A Dark Song,A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.,345,en,2016-07-08,A Dark Song,6.2
The Shadow Effect,A young man's life is turned upside down when his violent dreams begin to blend with reality.,110,en,2017-05-02,The Shadow Effect,5.0
The Cutting Edge,"Two former Olympians, one a figure skater and the other a hockey player, pin their hopes of one last shot at Olympic glory on one another. That is, of course, if they can keep from killing each other in the process...",246,en,1992-03-27,The Cutting Edge,7.2
Sherlock Holmes 3,,0,en,,Sherlock Holmes 3,0.0
Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",1244,en,2016-05-06,Florence Foster Jenkins,6.7
Lolly-Madonna XXX,"Laban Feather brews Tennessee moonshine with his sons Thrush, Zack, Hawk, and Finch. The chief rivals of the Feather Family in producing and selling illegal corn liquor are the Gutshalls, father Pap, and sons Ludie, Seb, and Villum. In addition to fighting over the white lightning market, the two families have also been feuding over some land that each believes is their property. As a prank, Ludie mails a postcard from a fictitious woman named Lolly-Madonna to the Feather household, in order to get the brothers squabbling over which son has attracted the mysterious admirer. But the joke has unexpected consequences when Thrush and Hawk kidnap a woman who was passing through town to meet her fiancée, assuming that she is Lolly Madonna.",8,en,1973-02-21,Lolly-Madonna XXX,4.8
Funny Games,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",1604,en,2007-10-20,Funny Games,6.6
Sexual Matrix,"A professor designing a machine designed to meet the naughtiest fantasies. In order to perfect the discovery, he performed tests on various subjects, aided by his very appealing assistant.",12,en,2000-04-01,Sexual Matrix,7.2
Alvin and the Chipmunks Meet Frankenstein,"While the Chipmunks are working at the amusement park, Majestic Movie Studios, in a singing attraction. Little do they know that the real Dr. Frankenstein are in a new attraction called, ""Frankenstein's Castle"". After Alvin drives a crazy bus ride, they miss their next performance and get locked in the park after closing time. Dr. Frankenstein figures that the castle isn't scary enough and re-creates the real Frankenstein and after the monster finds the boys, it starts a wild and wacky adventure!",115,en,1999-09-28,Alvin and the Chipmunks Meet Frankenstein,7.0
King Solomon's Mines,"Ever in search of adventure, explorer Allan Quatermain agrees to join the beautiful Jesse Huston on a mission to locate her archaeologist father, who has been abducted for his knowledge of the legendary mines of King Solomon. As the kidnappers, led by sinister German military officer Bockner, journey into the wilds of Africa, Allan and Jesse track the party and must contend with fierce natives and dangerous creatures, among other perils.",298,en,1985-11-22,King Solomon's Mines,5.5
Space Buddies,"B-Dawg, Mudbud, Budderball, and all the rest of the Buddies are back, but this time, they're setting their sights even higher -- as in, the moon! With the help of their new pals Spudnick (voiced by Jason Earles) and Gravity, these pooches are go for launch. But to pull off their moon landing and make it home safely, our canine heroes will have to summon all their bravery and imagination...",149,en,2009-02-02,Space Buddies,5.8
Minions: Training Wheels,"Margo, Edith, and Agnes spot an ice cream truck.The three of them go after the truck but Agnes falls as she attempts to pedal to the truck. The Minions, seeing her so upset by this, decide to build her a unicorn-themed motorcycle. Agnes goes for a little ride around town.",140,en,2013-12-10,Minions: Training Wheels,7.0
Buffalo '66,"Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry.",637,en,1998-01-20,Buffalo '66,7.1
The Postman Always Rings Twice,The sensuous wife of a lunch wagon proprietor and a rootless drifter begin a sordidly steamy affair and conspire to murder her Greek husband.,353,en,1981-03-20,The Postman Always Rings Twice,6.5
Milk,"The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans.",1757,en,2008-11-05,Milk,7.3
Lars and the Real Girl,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",1360,en,2007-10-12,Lars and the Real Girl,7.1
Into the Sun,"After the assassination of Tokyo's Governor by Yakuza members, the CIA bureau chief (William Atherton) for Tokyo puts out a call to an agent (Steven Seagal) that had been raised in Japan and trained by ex-Yakuza. Using his former ties, he quickly determines that a war is brewing between old-guard Yakuza members and a young, crazed leader (Takao Osawa) with ties to the Chinese Tong.",111,en,2005-02-15,Into the Sun,4.3
Wicked Little Things,"Karen, Sarah, and Emma Tunney are all moving to a small town in Pennsylvania where, unknown to them, in 1913, a horrid mine accident trapped dozens of children alive, underground. But there's a problem. They're still alive.",201,en,2006-11-17,Wicked Little Things,5.7
The Long Goodbye,Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.,401,en,1973-03-07,The Long Goodbye,7.5
Detective Conan: Full Score of Fear,"Serial murders involving all kinds have happened. All the victims are from a Music School led by a famous pianist. Conan and company have been invited to a opening concert of the Music Hall built by the pianist. The biggest attraction of this concert is the world famous violin called ""Stradivarius"" and a special appearance of a singer who has perfect pitch.",88,ja,2008-04-19,Detective Conan: Full Score of Fear,7.0
The Wife,"A wife questions her life choices as she travels to Stockholm with her husband, where he is slated to receive the Nobel Prize for Literature.",891,en,2018-08-02,The Wife,7.1
